StudNo,Description,Action,DateFiled,DateResolved
2017-20208,Change of Plan of Study,Unresolved,2014-12-26,2017-06-22
2017-20130,Change of Adviser,Resolved,2015-01-19,2017-03-18
2017-20639,Completion,Lapsed,2014-06-26,2016-02-22
2017-20385,LOA,Unresolved,2014-10-30,2016-06-04
2017-20726,LOA,Resolved,2015-07-21,2016-06-08
2017-20421,AWOL,Resolved,2015-06-23,2017-05-07
2017-20784,LOA,Lapsed,2014-01-22,2017-09-16
2017-20661,Change of Plan of Study,Unresolved,2014-09-08,2017-08-04
2017-20887,Change of Adviser,Unresolved,2014-05-12,2016-07-03
2017-20365,Change of Adviser,Unresolved,2014-10-01,2016-10-20
2017-20236,AWOL,Resolved,2015-09-21,2016-08-20
2017-20580,Residency,Resolved,2015-08-26,2017-02-09
2017-20487,Change of Plan of Study,Resolved,2015-04-17,2017-11-01
2017-20222,Residency,Resolved,2014-10-10,2017-10-14
2017-20473,LOA,Unresolved,2014-09-29,2016-06-07
2017-20668,Change of Plan of Study,Lapsed,2015-06-19,2016-11-16
2017-20666,AWOL,Lapsed,2014-10-03,2017-10-28
2017-20040,AWOL,Resolved,2015-08-25,2017-09-25
2017-20600,Change of Adviser,Lapsed,2014-06-17,2016-01-04
2017-20971,AWOL,Unresolved,2014-10-24,2016-03-22
2017-20530,Change of Plan of Study,Resolved,2014-06-09,2017-07-29
2017-20558,Completion,Lapsed,2014-08-21,2017-09-18
2017-20145,Change of Plan of Study,Resolved,2015-02-07,2017-02-19
2017-20141,LOA,Lapsed,2014-07-27,2016-06-16
2017-20038,Change of Adviser,Lapsed,2015-07-02,2016-12-06
2017-20657,Change of Plan of Study,Unresolved,2015-02-03,2016-08-14
2017-20936,LOA,Lapsed,2014-05-17,2017-02-08
2017-20055,Completion,Unresolved,2015-03-07,2017-11-03
2017-20746,Completion,Lapsed,2014-10-22,2017-03-10
2017-20410,Change of Plan of Study,Unresolved,2015-04-24,2017-02-17
2017-20120,Completion,Unresolved,2014-05-21,2017-02-25
2017-20027,Completion,Resolved,2014-09-05,2016-12-09
2017-20189,Change of Adviser,Unresolved,2014-03-25,2017-02-02
2017-20861,Completion,Resolved,2015-10-11,2016-04-09
2017-20133,LOA,Resolved,2014-04-08,2016-05-26
2017-20263,Change of Plan of Study,Unresolved,2015-10-24,2017-08-21
2017-20248,LOA,Resolved,2015-05-07,2016-08-13
2017-20063,LOA,Resolved,2014-12-02,2017-03-21
2017-20870,LOA,Lapsed,2014-10-10,2017-04-15
2017-20499,Change of Adviser,Lapsed,2014-05-11,2017-03-13
2017-20359,Change of Plan of Study,Resolved,2015-03-11,2016-03-23
2017-20617,Residency,Resolved,2015-09-13,2017-08-14
2017-20095,AWOL,Unresolved,2014-05-07,2017-10-09
2017-20786,Completion,Resolved,2015-06-10,2016-10-04
2017-20703,Change of Adviser,Resolved,2014-10-28,2017-08-24
2017-20294,Change of Adviser,Resolved,2014-08-23,2017-11-10
2017-20997,Completion,Resolved,2014-03-18,2017-08-21
2017-20024,Change of Plan of Study,Unresolved,2015-02-06,2017-10-30
2017-20263,Change of Plan of Study,Resolved,2014-01-03,2017-10-25
2017-20840,Change of Plan of Study,Resolved,2014-11-06,2016-05-06
2017-20553,Change of Adviser,Resolved,2015-06-27,2016-11-19
2017-20965,Change of Adviser,Resolved,2015-09-21,2017-09-21
2017-20844,AWOL,Lapsed,2014-04-19,2016-05-02
2017-20950,LOA,Resolved,2014-11-02,2016-03-06
2017-20212,LOA,Lapsed,2015-11-06,2016-07-29
2017-20517,Change of Adviser,Lapsed,2014-07-13,2016-08-27
2017-20288,AWOL,Unresolved,2015-03-28,2017-04-05
2017-20136,Residency,Lapsed,2014-06-01,2017-04-26
2017-20051,Change of Adviser,Unresolved,2015-10-17,2017-10-01
2017-20496,LOA,Resolved,2015-04-19,2016-11-26
2017-20372,Completion,Unresolved,2015-03-29,2016-09-23
2017-20538,AWOL,Resolved,2015-06-04,2016-12-02
2017-20991,LOA,Resolved,2015-05-31,2016-03-27
2017-20717,LOA,Unresolved,2014-03-10,2017-03-14
2017-20642,Change of Plan of Study,Resolved,2014-09-06,2017-09-29
2017-20219,Completion,Resolved,2014-10-21,2016-08-11
2017-20270,Change of Plan of Study,Lapsed,2015-01-13,2016-04-01
2017-20276,Change of Plan of Study,Resolved,2015-06-05,2017-04-23
2017-20199,Completion,Resolved,2014-10-17,2016-07-17
2017-20778,AWOL,Unresolved,2015-10-05,2017-08-31
2017-20789,LOA,Resolved,2014-08-08,2016-12-27
2017-20641,LOA,Resolved,2014-12-03,2016-05-21
2017-20569,Completion,Resolved,2014-12-04,2017-08-07
2017-20627,AWOL,Resolved,2015-03-11,2016-03-07
2017-20961,Residency,Lapsed,2014-06-08,2017-10-06
2017-20989,Change of Plan of Study,Resolved,2014-11-13,2016-04-07
2017-20096,Change of Plan of Study,Lapsed,2015-06-04,2016-03-16
2017-20344,Change of Plan of Study,Resolved,2015-09-14,2017-10-07
2017-20248,Change of Plan of Study,Unresolved,2015-09-07,2017-04-13
2017-20878,Change of Adviser,Unresolved,2015-09-24,2017-02-24
2017-20970,LOA,Lapsed,2014-04-09,2017-10-03
2017-20315,Change of Plan of Study,Lapsed,2014-05-06,2016-02-22
2017-20311,Change of Adviser,Lapsed,2014-05-09,2017-11-03
2017-20763,Completion,Lapsed,2015-10-19,2017-05-09
2017-20264,LOA,Resolved,2015-01-23,2016-07-26
2017-20150,LOA,Unresolved,2015-11-13,2017-02-10
2017-20138,LOA,Unresolved,2014-03-09,2017-02-23
2017-20372,AWOL,Unresolved,2014-09-12,2017-04-08
2017-20585,Change of Adviser,Lapsed,2015-04-14,2016-11-28
2017-20307,Change of Plan of Study,Unresolved,2015-10-28,2017-10-03
2017-20339,Change of Plan of Study,Unresolved,2015-02-21,2016-10-01
2017-20668,Completion,Unresolved,2015-08-09,2017-04-18
2017-20375,AWOL,Resolved,2014-05-17,2016-07-11
2017-20750,Change of Adviser,Lapsed,2014-05-17,2016-05-28
2017-20947,AWOL,Unresolved,2015-06-15,2017-05-06
2017-20370,LOA,Lapsed,2015-04-07,2016-11-05
2017-20147,AWOL,Resolved,2014-02-21,2017-06-01
2017-20284,Completion,Resolved,2014-07-25,2016-07-24
2017-20527,Residency,Unresolved,2014-02-20,2017-10-16
2017-20700,Change of Plan of Study,Resolved,2015-01-31,2017-03-01
2017-20152,LOA,Resolved,2015-07-20,2016-10-15
2017-20688,Change of Plan of Study,Unresolved,2015-01-20,2017-07-16
2017-20872,Completion,Resolved,2015-06-08,2017-04-05
2017-20618,AWOL,Resolved,2015-01-09,2017-03-14
2017-20255,Completion,Unresolved,2014-02-26,2016-07-15
2017-20125,Change of Plan of Study,Lapsed,2014-12-28,2016-06-22
2017-20105,AWOL,Lapsed,2015-05-27,2017-07-31
2017-20580,Change of Adviser,Resolved,2014-01-08,2017-06-23
2017-20107,Completion,Unresolved,2014-05-19,2017-03-21
2017-20930,LOA,Lapsed,2015-01-15,2016-01-19
2017-20720,Completion,Lapsed,2015-02-02,2017-03-05
2017-20783,Completion,Lapsed,2014-12-26,2016-12-03
2017-20839,AWOL,Unresolved,2015-11-08,2017-02-12
2017-20232,Residency,Lapsed,2015-01-19,2016-01-16
2017-20779,AWOL,Lapsed,2015-08-14,2017-09-05
2017-20739,LOA,Lapsed,2014-06-06,2017-01-13
2017-20858,Change of Plan of Study,Resolved,2015-08-10,2016-01-16
2017-20319,Completion,Unresolved,2014-12-27,2016-11-16
2017-20525,Residency,Resolved,2015-10-05,2016-09-06
2017-20139,LOA,Unresolved,2014-05-30,2016-10-30
2017-20266,Completion,Unresolved,2015-03-14,2017-08-19
2017-20047,Change of Adviser,Resolved,2015-09-12,2017-08-21
2017-20381,LOA,Resolved,2015-04-19,2017-08-25
2017-20398,Residency,Lapsed,2015-09-03,2017-04-17
2017-20381,AWOL,Resolved,2015-09-17,2017-08-30
2017-20530,AWOL,Unresolved,2015-07-06,2016-03-06
2017-20972,Completion,Lapsed,2014-09-26,2017-01-31
2017-20468,AWOL,Resolved,2014-08-04,2016-07-28
2017-20657,AWOL,Unresolved,2015-07-01,2016-10-06
2017-20051,Residency,Resolved,2015-10-03,2016-06-07
2017-20030,AWOL,Resolved,2015-01-21,2016-01-25
2017-20079,Change of Plan of Study,Resolved,2014-05-19,2016-06-21
2017-20910,Change of Adviser,Lapsed,2015-05-15,2017-04-13
2017-20166,LOA,Lapsed,2014-09-23,2016-04-24
2017-20405,Residency,Resolved,2015-10-01,2017-06-22
2017-20086,AWOL,Unresolved,2015-03-11,2017-05-31
2017-20357,Change of Plan of Study,Lapsed,2015-08-01,2017-11-13
2017-20245,Change of Adviser,Unresolved,2015-05-23,2016-03-26
2017-20739,AWOL,Unresolved,2014-08-06,2016-08-01
2017-20371,LOA,Unresolved,2014-10-01,2016-06-26
2017-20525,Completion,Resolved,2015-11-03,2017-09-16
2017-20712,Change of Plan of Study,Unresolved,2015-08-25,2016-11-07
2017-20116,Residency,Lapsed,2015-03-29,2017-04-21
2017-20662,Change of Adviser,Resolved,2015-05-29,2017-11-02
2017-20621,LOA,Lapsed,2015-01-08,2016-11-29
2017-20571,Change of Plan of Study,Lapsed,2014-05-19,2016-08-19
2017-20063,Change of Plan of Study,Lapsed,2015-04-04,2016-05-06
2017-20061,AWOL,Unresolved,2014-12-30,2016-05-24
2017-20526,Change of Adviser,Unresolved,2015-04-07,2017-08-08
2017-20609,Completion,Unresolved,2014-02-10,2017-10-12
2017-20882,Change of Plan of Study,Lapsed,2014-01-28,2017-06-06
2017-20610,Completion,Resolved,2015-03-26,2016-10-15
2017-20773,Change of Plan of Study,Unresolved,2015-01-09,2016-12-22
2017-20405,Change of Plan of Study,Unresolved,2014-05-04,2017-10-02
2017-20707,Change of Plan of Study,Lapsed,2015-04-11,2016-11-04
2017-20414,AWOL,Lapsed,2015-05-22,2017-03-12
2017-20863,Residency,Lapsed,2014-11-24,2016-04-30
2017-20792,Completion,Unresolved,2015-09-25,2017-09-16
2017-20620,Change of Plan of Study,Resolved,2015-10-18,2016-06-07
2017-20692,Change of Plan of Study,Resolved,2014-06-12,2016-08-06
2017-20027,Residency,Unresolved,2015-02-28,2016-05-12
2017-20327,Change of Plan of Study,Resolved,2014-02-11,2016-10-20
2017-20750,Change of Plan of Study,Resolved,2014-01-20,2016-10-29
2017-20400,Residency,Resolved,2015-02-24,2016-01-18
2017-20385,AWOL,Resolved,2015-05-31,2016-03-27
2017-20184,Change of Adviser,Lapsed,2014-08-22,2016-03-22
2017-20059,Residency,Unresolved,2014-07-18,2016-10-12
2017-20525,Residency,Lapsed,2015-02-15,2016-01-28
2017-20063,Change of Plan of Study,Lapsed,2015-10-05,2016-08-01
2017-20740,Change of Adviser,Unresolved,2014-06-19,2016-04-17
2017-20123,Change of Adviser,Resolved,2015-04-22,2017-02-20
2017-20232,Residency,Resolved,2014-05-01,2017-08-30
2017-20384,Change of Plan of Study,Resolved,2014-02-13,2016-10-16
2017-20383,LOA,Lapsed,2014-09-08,2017-08-08
2017-20007,LOA,Lapsed,2015-09-24,2017-02-15
2017-20523,LOA,Unresolved,2014-10-07,2017-07-27
2017-20286,Residency,Resolved,2015-09-18,2017-01-26
2017-20279,LOA,Resolved,2015-06-28,2016-04-19
2017-20640,Residency,Unresolved,2014-10-02,2016-09-07
2017-20039,AWOL,Resolved,2015-07-10,2017-07-27
2017-20603,AWOL,Unresolved,2014-11-24,2017-04-20
2017-20906,Change of Plan of Study,Lapsed,2014-07-10,2016-10-29
2017-20380,LOA,Lapsed,2014-01-15,2017-05-13
2017-20053,AWOL,Unresolved,2014-04-30,2017-09-03
2017-20823,AWOL,Lapsed,2014-09-10,2016-11-19
2017-20351,AWOL,Lapsed,2014-09-18,2017-05-11
2017-20944,Change of Plan of Study,Lapsed,2015-03-20,2017-09-15
2017-20438,Residency,Unresolved,2014-01-18,2017-02-05
2017-20696,LOA,Lapsed,2014-09-13,2016-03-07
2017-20185,Change of Adviser,Unresolved,2015-07-11,2017-10-02
2017-20173,AWOL,Unresolved,2015-01-17,2016-11-19
2017-20059,Change of Adviser,Lapsed,2014-08-07,2016-03-03
2017-20017,Change of Plan of Study,Unresolved,2014-11-04,2016-01-11
2017-20784,AWOL,Resolved,2014-11-07,2017-02-15
2017-20791,AWOL,Resolved,2014-08-10,2016-10-04
2017-20294,LOA,Resolved,2015-08-30,2017-02-06
2017-20122,Change of Plan of Study,Unresolved,2015-07-30,2016-05-18
2017-20612,Change of Plan of Study,Unresolved,2014-09-21,2017-03-08
2017-20694,AWOL,Lapsed,2015-04-26,2016-04-06
2017-20763,Change of Adviser,Lapsed,2014-04-03,2017-11-11
2017-20088,Residency,Unresolved,2014-08-06,2017-01-27
2017-20258,LOA,Resolved,2015-06-01,2016-02-15
2017-20261,LOA,Unresolved,2015-03-27,2016-07-06
2017-20938,AWOL,Unresolved,2015-04-22,2016-01-25
2017-20474,Residency,Unresolved,2014-08-24,2017-02-20
2017-20654,Completion,Unresolved,2014-11-29,2017-05-06
2017-20280,AWOL,Lapsed,2015-03-15,2017-08-21
2017-20586,Residency,Unresolved,2014-12-13,2016-04-28
2017-20397,Change of Plan of Study,Resolved,2015-08-31,2017-05-14
2017-20189,Completion,Unresolved,2014-06-28,2017-06-28
2017-20514,Change of Plan of Study,Resolved,2015-06-28,2016-08-21
2017-20433,Change of Plan of Study,Lapsed,2014-06-16,2016-12-20
2017-20779,LOA,Unresolved,2015-11-05,2016-10-26
2017-20353,Change of Adviser,Unresolved,2015-10-28,2016-10-16
2017-20480,Change of Plan of Study,Unresolved,2015-06-15,2016-05-08
2017-20509,Completion,Unresolved,2014-03-26,2017-09-22
2017-20685,LOA,Resolved,2015-07-12,2016-03-06
2017-20685,Completion,Unresolved,2015-01-08,2016-03-27
2017-20056,Completion,Resolved,2015-03-23,2016-06-27
2017-20071,Change of Adviser,Unresolved,2015-05-29,2017-09-06
2017-20728,Change of Plan of Study,Unresolved,2015-06-13,2017-10-12
2017-20032,Change of Plan of Study,Resolved,2015-09-01,2016-10-20
2017-20395,LOA,Unresolved,2015-05-27,2017-01-09
2017-20069,LOA,Resolved,2014-09-26,2017-07-13
2017-20220,LOA,Lapsed,2015-08-26,2016-02-14
2017-20028,AWOL,Resolved,2014-07-16,2017-03-21
2017-20572,Completion,Unresolved,2014-04-11,2016-06-12
2017-30109,Completion,Unresolved,2014-04-02,2017-06-05
2017-30615,Residency,Unresolved,2015-02-17,2016-01-31
2017-30429,AWOL,Unresolved,2015-01-07,2017-10-27
2017-30968,AWOL,Resolved,2014-01-03,2017-05-16
2017-30387,LOA,Lapsed,2014-06-02,2016-08-29
2017-30300,Residency,Resolved,2014-08-18,2016-10-27
2017-30704,LOA,Resolved,2014-01-19,2016-08-13
2017-30187,Change of Plan of Study,Unresolved,2015-09-05,2017-09-03
2017-30456,Change of Adviser,Lapsed,2014-06-11,2017-06-23
2017-30526,LOA,Lapsed,2014-11-11,2016-01-22
2017-30859,Completion,Lapsed,2015-02-10,2016-06-07
2017-30566,Completion,Lapsed,2014-02-22,2017-08-06
2017-30801,Residency,Unresolved,2014-09-29,2016-10-19
2017-30276,Completion,Resolved,2015-01-14,2017-10-28
2017-30482,Completion,Unresolved,2014-10-15,2017-04-01
2017-30440,LOA,Unresolved,2014-07-31,2017-11-09
2017-30498,LOA,Unresolved,2015-10-01,2017-07-30
2017-30606,Change of Adviser,Resolved,2014-11-21,2017-03-11
2017-30984,LOA,Resolved,2014-02-26,2016-12-18
2017-30862,Residency,Unresolved,2014-11-04,2017-01-04
2017-30291,AWOL,Lapsed,2014-11-27,2016-01-04
2017-30861,AWOL,Lapsed,2014-02-13,2017-02-17
2017-30689,Residency,Lapsed,2015-05-12,2016-03-19
2017-30340,Completion,Unresolved,2015-06-25,2017-05-14
2017-30563,AWOL,Lapsed,2015-07-30,2016-11-27
2017-30906,AWOL,Unresolved,2014-03-28,2017-08-27
2017-30520,LOA,Lapsed,2015-03-08,2017-02-21
2017-30494,Completion,Resolved,2015-04-26,2016-01-04
2017-30449,Change of Plan of Study,Resolved,2014-05-06,2016-02-12
2017-30593,LOA,Unresolved,2014-02-07,2017-07-28
2017-30542,Change of Plan of Study,Unresolved,2015-08-24,2016-02-10
2017-30223,Change of Adviser,Unresolved,2015-11-08,2017-03-25
2017-30510,AWOL,Unresolved,2015-05-18,2016-06-23
2017-30318,AWOL,Resolved,2014-11-05,2016-02-09
2017-30761,AWOL,Lapsed,2015-09-20,2017-02-28
2017-30982,Completion,Lapsed,2014-03-08,2017-09-04
2017-30905,LOA,Resolved,2014-03-29,2017-05-04
2017-30935,Completion,Unresolved,2015-09-19,2016-10-24
2017-30725,Change of Plan of Study,Lapsed,2014-09-01,2017-07-26
2017-30550,AWOL,Resolved,2015-10-16,2017-01-25
2017-30716,Change of Adviser,Resolved,2014-12-06,2017-01-16
2017-30758,Change of Plan of Study,Resolved,2015-02-26,2017-10-24
2017-30169,LOA,Resolved,2015-04-27,2017-01-04
2017-30144,Change of Adviser,Resolved,2014-08-18,2017-01-09
2017-30414,AWOL,Lapsed,2014-10-08,2017-10-02
2017-30544,LOA,Unresolved,2014-10-02,2016-05-26
2017-30781,LOA,Lapsed,2014-11-26,2017-05-12
2017-30637,Change of Plan of Study,Lapsed,2014-01-23,2016-10-03
2017-30412,AWOL,Lapsed,2014-12-01,2016-08-04
2017-30403,Change of Plan of Study,Unresolved,2014-04-22,2017-02-06
2017-30019,LOA,Resolved,2015-07-26,2016-11-13
2017-30643,Change of Adviser,Resolved,2014-02-16,2017-02-09
2017-30200,Residency,Unresolved,2014-05-15,2016-07-28
2017-30770,AWOL,Resolved,2014-11-30,2017-06-18
2017-30647,Change of Adviser,Lapsed,2014-10-20,2016-07-05
2017-30970,LOA,Lapsed,2014-04-28,2017-04-29
2017-30187,LOA,Lapsed,2014-04-28,2016-03-22
2017-30049,Completion,Unresolved,2014-06-26,2016-04-01
2017-30025,LOA,Lapsed,2014-07-03,2017-09-04
2017-30331,Change of Adviser,Lapsed,2014-04-27,2016-07-09
2017-30521,Change of Adviser,Resolved,2014-03-31,2016-07-09
2017-30091,AWOL,Resolved,2015-06-18,2016-01-24
2017-30735,LOA,Lapsed,2014-01-15,2016-04-13
2017-30676,Completion,Resolved,2014-07-11,2016-04-05
2017-30166,Change of Plan of Study,Unresolved,2014-09-24,2016-08-21
2017-30669,Change of Adviser,Lapsed,2014-10-27,2017-05-03
2017-30332,AWOL,Unresolved,2015-11-02,2016-03-06
2017-30493,Change of Plan of Study,Lapsed,2014-03-07,2017-05-21
2017-30203,Change of Adviser,Lapsed,2014-01-08,2016-03-04
2017-30495,Change of Adviser,Resolved,2015-09-19,2017-11-01
2017-30086,Change of Plan of Study,Unresolved,2014-12-20,2016-06-20
2017-30859,Change of Adviser,Resolved,2015-08-04,2017-02-11
2017-30834,Residency,Lapsed,2015-03-18,2016-04-12
2017-30475,Residency,Resolved,2015-10-30,2016-09-07
2017-30782,LOA,Resolved,2015-04-22,2016-01-31
2017-30827,LOA,Resolved,2015-03-04,2016-08-11
2017-30841,LOA,Resolved,2014-12-10,2016-04-19
2017-30747,Completion,Lapsed,2014-12-05,2017-07-26
2017-30394,Change of Plan of Study,Unresolved,2014-03-30,2016-11-15
2017-30714,Completion,Unresolved,2014-02-02,2017-11-10
2017-30826,Completion,Lapsed,2015-07-18,2016-04-21
2017-30889,AWOL,Unresolved,2015-04-26,2017-10-12
2017-30476,Change of Adviser,Lapsed,2014-08-23,2017-02-02
2017-30907,AWOL,Lapsed,2015-08-25,2016-07-26
2017-30540,Change of Plan of Study,Lapsed,2014-03-18,2017-08-27
2017-30760,AWOL,Lapsed,2014-01-20,2016-03-15
2017-30444,Change of Adviser,Resolved,2014-07-01,2016-01-28
2017-30081,AWOL,Resolved,2015-01-19,2017-06-19
2017-30700,Change of Adviser,Unresolved,2015-08-11,2016-03-09
2017-30839,AWOL,Unresolved,2014-02-15,2017-08-07
2017-30627,AWOL,Resolved,2014-01-03,2017-08-03
2017-30880,Change of Plan of Study,Resolved,2015-07-24,2017-06-08
2017-30799,AWOL,Unresolved,2014-07-08,2017-11-09
2017-30973,AWOL,Unresolved,2015-01-16,2016-11-03
2017-30179,AWOL,Resolved,2014-04-03,2017-09-06
2017-30385,Change of Adviser,Lapsed,2014-01-22,2016-10-02
2017-30450,Change of Adviser,Resolved,2015-04-01,2017-10-18
2017-30208,Change of Plan of Study,Resolved,2014-04-15,2016-09-26
2017-30140,Residency,Unresolved,2014-12-22,2016-02-28
2017-30041,Change of Adviser,Unresolved,2014-12-05,2016-04-22
2017-30902,Completion,Unresolved,2015-09-01,2017-07-26
2017-30310,Completion,Lapsed,2014-01-07,2016-09-12
2017-30484,AWOL,Lapsed,2015-02-23,2017-03-23
2017-30952,Change of Plan of Study,Lapsed,2015-03-13,2016-10-05
2017-30813,LOA,Resolved,2015-05-09,2017-02-09
2017-30481,Residency,Unresolved,2014-03-17,2016-04-18
2017-30162,LOA,Lapsed,2015-01-14,2016-08-18
2017-30694,Change of Plan of Study,Resolved,2014-09-29,2017-05-10
2017-30736,LOA,Unresolved,2015-11-08,2016-08-11
2017-30521,Residency,Resolved,2014-04-03,2017-09-14
2017-30717,Change of Adviser,Resolved,2014-08-31,2016-11-05
2017-30168,AWOL,Lapsed,2014-08-11,2016-08-04
2017-30033,Completion,Lapsed,2015-04-22,2016-06-14
2017-30276,Change of Adviser,Lapsed,2014-12-15,2016-07-27
2017-30446,AWOL,Lapsed,2014-03-20,2016-06-08
2017-30952,Residency,Lapsed,2014-11-14,2017-08-17
2017-30870,AWOL,Unresolved,2014-03-30,2017-08-16
2017-30761,Change of Plan of Study,Unresolved,2014-10-25,2017-02-15
2017-30083,Completion,Lapsed,2014-07-01,2017-05-07
2017-30421,Change of Plan of Study,Resolved,2015-06-27,2017-05-03
2017-30532,Residency,Resolved,2014-03-13,2017-08-18
2017-30327,LOA,Unresolved,2014-04-08,2017-08-23
2017-30575,Change of Plan of Study,Unresolved,2015-03-09,2016-07-13
2017-30797,Change of Adviser,Lapsed,2015-01-20,2016-11-17
2017-30868,Change of Plan of Study,Lapsed,2015-04-22,2016-12-01
2017-30472,Residency,Resolved,2014-06-06,2016-05-23
2017-30774,Change of Plan of Study,Lapsed,2015-02-12,2017-06-14
2017-30882,Change of Plan of Study,Resolved,2014-04-19,2016-07-02
2017-30888,Completion,Unresolved,2014-03-30,2017-01-05
2017-30753,LOA,Resolved,2015-03-09,2017-04-16
2017-30625,Residency,Lapsed,2014-09-01,2016-11-17
2017-30577,Change of Adviser,Unresolved,2015-04-30,2017-06-15
2017-30816,Completion,Resolved,2014-02-22,2017-02-03
2017-30927,Completion,Resolved,2015-08-04,2016-06-11
2017-30594,AWOL,Lapsed,2014-12-04,2017-02-16
2017-30655,Change of Adviser,Unresolved,2014-08-12,2017-05-29
2017-30719,Change of Adviser,Unresolved,2015-09-05,2016-12-15
2017-30397,AWOL,Unresolved,2015-11-11,2016-10-07
2017-30407,Residency,Lapsed,2015-11-06,2016-11-12
2017-30731,LOA,Resolved,2014-02-17,2016-01-05
2017-30816,Residency,Unresolved,2015-02-21,2016-07-02
2017-30531,Completion,Lapsed,2014-03-01,2016-09-17
2017-30203,Completion,Resolved,2015-04-10,2017-08-05
2017-30408,AWOL,Lapsed,2015-03-13,2016-06-13
2017-30638,Completion,Lapsed,2014-12-15,2017-07-11
2017-30885,Change of Plan of Study,Unresolved,2014-10-24,2017-01-08
2017-30304,Change of Adviser,Unresolved,2014-06-21,2017-11-04
2017-30882,Change of Plan of Study,Resolved,2015-07-02,2016-01-21
2017-30540,Change of Plan of Study,Unresolved,2015-09-03,2016-09-29
2017-30348,Change of Adviser,Resolved,2014-10-08,2017-07-29
2017-30565,Completion,Lapsed,2015-03-20,2016-02-10
2017-30132,Residency,Resolved,2015-06-15,2016-05-04
2017-30914,Change of Adviser,Lapsed,2014-01-07,2016-03-21
2017-30694,Change of Plan of Study,Unresolved,2014-08-17,2017-03-25
2017-30406,Change of Adviser,Lapsed,2015-05-31,2017-08-14
2017-30557,AWOL,Unresolved,2014-09-05,2016-08-28
2017-30175,Change of Adviser,Resolved,2015-05-15,2016-04-22
2017-30601,Completion,Unresolved,2014-05-13,2016-11-20
2017-30887,Residency,Resolved,2015-07-26,2016-08-17
2017-30791,AWOL,Lapsed,2014-12-01,2017-03-09
2017-30266,Residency,Lapsed,2015-05-23,2016-02-28
2017-30762,Completion,Unresolved,2014-06-21,2016-07-19
2017-30895,LOA,Unresolved,2015-04-15,2016-01-07
2017-30581,LOA,Resolved,2015-03-13,2017-09-20
2017-30089,Change of Plan of Study,Lapsed,2015-04-24,2017-04-15
2017-30571,Change of Plan of Study,Lapsed,2014-10-19,2016-07-08
2017-30897,Residency,Lapsed,2014-12-13,2016-04-30
2017-30665,Change of Plan of Study,Unresolved,2015-09-14,2017-07-27
2017-30160,Change of Plan of Study,Resolved,2015-01-18,2016-03-25
2017-30139,Residency,Lapsed,2014-08-17,2017-02-17
2017-30162,AWOL,Unresolved,2015-09-25,2016-11-02
2017-30677,LOA,Lapsed,2015-05-26,2016-02-08
2017-30836,Residency,Unresolved,2015-01-17,2017-07-12
2017-30440,Residency,Unresolved,2015-08-09,2016-04-08
2017-30853,Change of Adviser,Resolved,2015-10-25,2016-07-18
2017-30499,Change of Adviser,Resolved,2015-03-29,2016-05-15
2017-30033,Residency,Unresolved,2014-06-30,2016-04-25
2017-30198,Change of Adviser,Resolved,2015-11-08,2016-03-13
2017-30645,Residency,Lapsed,2015-08-26,2017-08-18
2017-30844,Completion,Unresolved,2015-10-19,2017-02-25
2017-30764,Change of Plan of Study,Unresolved,2015-09-04,2017-09-09
2017-30386,Change of Plan of Study,Resolved,2015-08-25,2017-02-14
2017-30506,Change of Plan of Study,Resolved,2014-07-26,2017-09-11
2017-30563,Change of Plan of Study,Resolved,2014-06-04,2017-09-24
2017-30142,Residency,Unresolved,2015-11-15,2017-09-16
2017-30795,AWOL,Resolved,2014-04-21,2016-03-13
2017-30447,Residency,Resolved,2014-10-03,2016-04-13
2017-30833,Change of Plan of Study,Unresolved,2015-04-23,2017-01-01
2017-30958,Residency,Resolved,2015-05-10,2017-05-23
2017-30759,Completion,Resolved,2015-07-04,2016-12-02
2017-30197,Change of Adviser,Lapsed,2014-06-24,2017-01-16
2017-30102,Residency,Lapsed,2014-08-13,2016-11-08
2017-30060,LOA,Resolved,2015-08-10,2017-08-04
2017-30709,Change of Plan of Study,Lapsed,2014-09-13,2017-10-29
2017-30867,Completion,Resolved,2015-03-30,2017-11-09
2017-30306,LOA,Unresolved,2014-04-14,2016-07-30
2017-30160,Change of Plan of Study,Unresolved,2014-11-22,2016-05-17
2017-30649,Completion,Lapsed,2014-01-28,2017-07-23
2017-30067,LOA,Resolved,2014-11-11,2016-09-13
2017-30327,AWOL,Resolved,2014-03-19,2016-03-16
2017-30030,LOA,Resolved,2014-09-06,2017-08-06
2017-30131,Residency,Resolved,2014-06-26,2017-07-03
2017-30560,Completion,Lapsed,2015-10-10,2016-08-01
2017-30306,LOA,Resolved,2015-06-16,2016-06-17
2017-30297,Change of Adviser,Unresolved,2014-10-25,2017-09-12
2017-30315,Completion,Resolved,2015-07-30,2016-01-13
2017-30528,Completion,Lapsed,2015-10-05,2017-06-09
2017-30731,LOA,Lapsed,2015-07-05,2017-02-19
2017-30239,LOA,Lapsed,2014-12-26,2017-10-23
2017-30795,AWOL,Lapsed,2015-09-18,2016-09-18
2017-30498,Change of Plan of Study,Unresolved,2014-12-08,2016-09-17
2017-30296,Change of Adviser,Resolved,2015-11-07,2016-12-28
2017-30696,AWOL,Resolved,2014-09-20,2016-10-23
2017-30457,Residency,Resolved,2014-07-11,2017-01-15
